Year,State,low_value_num,CPI_Average,north_east,mid_west,west,years_since_1996,low_value
1997,Alabama,0,160.5166667,0,0,0,1,0
1997,Alaska,5.25,160.5166667,0,0,1,1,5.25
1997,Arizona,0,160.5166667,0,0,1,1,0
1997,Arkansas,4.25,160.5166667,0,0,0,1,4.25
1997,California,4.75,160.5166667,0,0,1,1,4.75
1997,Colorado,4.75,160.5166667,0,0,1,1,4.75
1997,Connecticut,4.77,160.5166667,1,0,0,1,4.77
1997,Delaware,5,160.5166667,0,0,0,1,5
1997,District of Columbia,5.75,160.5166667,0,0,0,1,5.75
1997,Florida,0,160.5166667,0,0,0,1,0
1997,Georgia,3.25,160.5166667,0,0,0,1,3.25
1997,Hawaii,5.25,160.5166667,0,0,1,1,5.25
1997,Idaho,4.25,160.5166667,0,0,1,1,4.25
1997,Illinois,4.75,160.5166667,0,1,0,1,4.75
1997,Indiana,3.35,160.5166667,0,1,0,1,3.35
1997,Iowa,4.75,160.5166667,0,1,0,1,4.75
1997,Kansas,2.65,160.5166667,0,1,0,1,2.65
1997,Kentucky,4.25,160.5166667,0,0,0,1,4.25
1997,Louisiana,0,160.5166667,0,0,0,1,0
1997,Maine,4.75,160.5166667,1,0,0,1,4.75
1997,Maryland,4.75,160.5166667,0,0,0,1,4.75
1997,Massachusetts,5.25,160.5166667,1,0,0,1,5.25
1997,Michigan,3.35,160.5166667,0,1,0,1,3.35
1997,Minnesota,4.25,160.5166667,0,1,0,1,4.25
1997,Mississippi,0,160.5166667,0,0,0,1,0
1997,Missouri,4.75,160.5166667,0,1,0,1,4.75
1997,Montana,4.75,160.5166667,0,0,1,1,4.75
1997,Nebraska,4.25,160.5166667,0,1,0,1,4.25
1997,Nevada,4.75,160.5166667,0,0,1,1,4.75
1997,New Hampshire,4.75,160.5166667,1,0,0,1,4.75
1997,New Jersey,5.05,160.5166667,1,0,0,1,5.05
1997,New Mexico,4.25,160.5166667,0,0,1,1,4.25
1997,New York,4.25,160.5166667,1,0,0,1,4.25
1997,North Carolina,4.25,160.5166667,0,0,0,1,4.25
1997,North Dakota,4.75,160.5166667,0,1,0,1,4.75
1997,Ohio,4.25,160.5166667,0,1,0,1,4.25
1997,Oklahoma,4.75,160.5166667,0,0,0,1,4.75
1997,Oregon,5.5,160.5166667,0,0,1,1,5.5
1997,Pennsylvania,4.75,160.5166667,1,0,0,1,4.75
1997,Rhode Island,5.15,160.5166667,1,0,0,1,5.15
1997,South Carolina,0,160.5166667,0,0,0,1,0
1997,South Dakota,4.25,160.5166667,0,1,0,1,4.25
1997,Tennessee,0,160.5166667,0,0,0,1,0
1997,Texas,3.35,160.5166667,0,0,0,1,3.35
1997,Utah,4.75,160.5166667,0,0,1,1,4.75
1997,Vermont,5,160.5166667,1,0,0,1,5
1997,Virginia,4.75,160.5166667,0,0,0,1,4.75
1997,Washington,4.9,160.5166667,0,0,1,1,4.9
1997,West Virginia,4.25,160.5166667,0,0,0,1,4.25
1997,Wisconsin,4.75,160.5166667,0,1,0,1,4.75
1997,Wyoming,1.6,160.5166667,0,0,1,1,1.6
1998,Alabama,0,163.0083333,0,0,0,2,0
1998,Alaska,5.65,163.0083333,0,0,1,2,5.65
1998,Arizona,0,163.0083333,0,0,1,2,0
1998,Arkansas,5.15,163.0083333,0,0,0,2,5.15
1998,California,5.15,163.0083333,0,0,1,2,5.15
1998,Colorado,5.15,163.0083333,0,0,1,2,5.15
1998,Connecticut,5.18,163.0083333,1,0,0,2,5.18
1998,Delaware,5.15,163.0083333,0,0,0,2,5.15
1998,District of Columbia,6.15,163.0083333,0,0,0,2,6.15
1998,Florida,0,163.0083333,0,0,0,2,0
1998,Georgia,3.25,163.0083333,0,0,0,2,3.25
1998,Hawaii,5.25,163.0083333,0,0,1,2,5.25
1998,Idaho,5.15,163.0083333,0,0,1,2,5.15
1998,Illinois,5.15,163.0083333,0,1,0,2,5.15
1998,Indiana,3.35,163.0083333,0,1,0,2,3.35
